54.06,Info,Arena,6,Exit_Zone,2
54.06,Info,Arena,6,Enter_Zone,4
54.329,Info,Arena,6,Exit_Zone,4
54.329,Info,Arena,6,Enter_Zone,1
54.36,Info,Arena,6,Exit_Zone,1
54.36,Info,Arena,6,Enter_Zone,4
54.394,Info,Arena,4,Exit_Zone,4
54.394,Info,Arena,4,Enter_Zone,2
54.394,Info,Arena,6,Exit_Zone,4
54.394,Info,Arena,6,Enter_Zone,1
54.827,Info,Arena,3,Exit_Zone,2
54.827,Info,Arena,3,Enter_Zone,4
55.127,Info,Arena,3,Exit_Zone,4
55.127,Info,Arena,3,Enter_Zone,3
55.261,Info,Arena,7,Exit_Zone,1
55.261,Info,Arena,7,Enter_Zone,4
55.294,Info,Arena,7,Exit_Zone,4
55.294,Info,Arena,7,Enter_Zone,3
56.394,Info,Arena,2,Exit_Zone,3
56.394,Info,Arena,2,Enter_Zone,4
56.426,Info,Arena,2,Exit_Zone,4
56.426,Info,Arena,2,Enter_Zone,2
56.927,Info,Arena,6,Exit_Zone,1
56.927,Info,Arena,6,Enter_Zone,4
57.194,Info,Arena,2,Exit_Zone,2
57.194,Info,Arena,2,Enter_Zone,4
57.435,Info,Arena,6,Exit_Zone,4
57.435,Info,Arena,6,Enter_Zone,2
57.511,Info,Arena,2,Exit_Zone,4
57.511,Info,Arena,2,Enter_Zone,1
58.068,Info,Arena,3,Exit_Zone,3
58.068,Info,Arena,3,Enter_Zone,4
58.251,Info,Arena,3,Exit_Zone,4
58.251,Info,Arena,3,Enter_Zone,1
58.509,Info,Arena,3,Exit_Zone,1
58.509,Info,Arena,3,Enter_Zone,4
58.544,Info,Arena,3,Exit_Zone,4
58.544,Info,Arena,3,Enter_Zone,3
58.993,Info,Arena,4,Exit_Zone,2
58.993,Info,Arena,4,Enter_Zone,4
59.376,Info,Arena,4,Exit_Zone,4
59.376,Info,Arena,4,Enter_Zone,3
59.412,Info,Arena,4,Exit_Zone,3
59.412,Info,Arena,4,Enter_Zone,4
59.446,Info,Arena,4,Exit_Zone,4
59.446,Info,Arena,4,Enter_Zone,3
59.812,Info,Arena,6,Exit_Zone,2
59.812,Info,Arena,6,Enter_Zone,4
60.301,Info,Arena,6,Exit_Zone,4
60.301,Info,Arena,6,Enter_Zone,3
60.975,Info,Arena,3,Exit_Zone,3
60.975,Info,Arena,3,Enter_Zone,1
61.05,Info,Arena,4,Exit_Zone,3
61.05,Info,Arena,4,Enter_Zone,4
61.312,Info,Arena,4,Exit_Zone,4
61.312,Info,Arena,4,Enter_Zone,2
61.388,Info,Arena,7,Exit_Zone,3
61.388,Info,Arena,7,Enter_Zone,4
61.701,Info,Arena,7,Exit_Zone,4
61.701,Info,Arena,7,Enter_Zone,1
61.849,Info,Arena,8,Exit_Zone,1
61.849,Info,Arena,8,Enter_Zone,4
62.093,Info,Arena,8,Exit_Zone,4
62.093,Info,Arena,8,Enter_Zone,2
63.53,Info,Arena,5,Exit_Zone,1
63.53,Info,Arena,5,Enter_Zone,4
63.633,Info,Arena,5,Exit_Zone,4
63.633,Info,Arena,5,Enter_Zone,3
63.77,Info,Arena,3,Exit_Zone,1
63.77,Info,Arena,3,Enter_Zone,4
63.942,Info,Arena,3,Exit_Zone,4
63.942,Info,Arena,3,Enter_Zone,3
64.505,Info,Arena,8,Exit_Zone,2
64.505,Info,Arena,8,Enter_Zone,4
64.883,Info,Arena,8,Exit_Zone,4
64.883,Info,Arena,8,Enter_Zone,3
65.772,Info,Arena,1,Exit_Zone,1
65.772,Info,Arena,1,Enter_Zone,4
66.344,Info,Arena,1,Exit_Zone,4
66.344,Info,Arena,1,Enter_Zone,3
66.378,Info,Arena,4,Exit_Zone,2
66.378,Info,Arena,4,Enter_Zone,4
66.838,Info,Arena,4,Exit_Zone,4
66.838,Info,Arena,4,Enter_Zone,3
66.838,Info,Arena,5,Exit_Zone,3
66.838,Info,Arena,5,Enter_Zone,4
66.943,Info,Arena,5,Exit_Zone,4
66.943,Info,Arena,5,Enter_Zone,2
67.868,Info,Arena,7,Exit_Zone,1
67.868,Info,Arena,7,Enter_Zone,4
68.074,Info,Arena,7,Exit_Zone,4
68.074,Info,Arena,7,Enter_Zone,3
68.109,Info,Arena,3,Exit_Zone,3
68.109,Info,Arena,3,Enter_Zone,4
68.145,Info,Arena,8,Exit_Zone,3
68.145,Info,Arena,8,Enter_Zone,4
68.544,Info,Arena,3,Exit_Zone,4
68.544,Info,Arena,3,Enter_Zone,3
68.653,Info,Arena,8,Exit_Zone,4
68.653,Info,Arena,8,Enter_Zone,3
68.905,Info,Arena,2,Exit_Zone,1
68.905,Info,Arena,2,Enter_Zone,4
69.638,Info,Arena,4,Exit_Zone,3
69.638,Info,Arena,4,Enter_Zone,4
69.744,Info,Arena,2,Exit_Zone,4
69.744,Info,Arena,2,Enter_Zone,2
70.06,Info,Arena,6,Exit_Zone,3
70.06,Info,Arena,6,Enter_Zone,4
70.307,Info,Arena,4,Exit_Zone,4
70.307,Info,Arena,4,Enter_Zone,2
70.415,Info,Arena,7,Exit_Zone,3
70.415,Info,Arena,7,Enter_Zone,4
70.819,Info,Arena,6,Exit_Zone,4
70.819,Info,Arena,6,Enter_Zone,2
70.889,Info,Arena,7,Exit_Zone,4
70.889,Info,Arena,7,Enter_Zone,1
71.989,Info,Arena,8,Exit_Zone,3
71.989,Info,Arena,8,Enter_Zone,4
72.129,Info,Arena,5,Exit_Zone,2
72.129,Info,Arena,5,Enter_Zone,4
72.203,Info,Arena,1,Exit_Zone,3
72.203,Info,Arena,1,Enter_Zone,4
72.274,Info,Arena,8,Exit_Zone,4
72.274,Info,Arena,8,Enter_Zone,1
72.307,Info,Arena,5,Exit_Zone,4
72.307,Info,Arena,5,Enter_Zone,3
72.641,Info,Arena,2,Exit_Zone,2
72.641,Info,Arena,2,Enter_Zone,4
72.843,Info,Arena,1,Exit_Zone,4
72.843,Info,Arena,1,Enter_Zone,1
73.046,Info,Arena,2,Exit_Zone,4
73.046,Info,Arena,2,Enter_Zone,3
73.523,Info,Arena,7,Exit_Zone,1
73.523,Info,Arena,7,Enter_Zone,2
74.725,Info,Arena,4,Exit_Zone,2
74.725,Info,Arena,4,Enter_Zone,4
75.012,Info,Arena,5,Exit_Zone,3
75.012,Info,Arena,5,Enter_Zone,4
75.127,Info,Arena,4,Exit_Zone,4
75.127,Info,Arena,4,Enter_Zone,3
75.306,Info,Arena,5,Exit_Zone,4
75.306,Info,Arena,5,Enter_Zone,2
75.499,Info,Arena,6,Exit_Zone,2
75.499,Info,Arena,6,Enter_Zone,4
75.647,Info,Arena,6,Exit_Zone,4
75.647,Info,Arena,6,Enter_Zone,1
75.682,Info,Arena,5,Exit_Zone,2
75.682,Info,Arena,5,Enter_Zone,4
75.721,Info,Arena,5,Exit_Zone,4
75.721,Info,Arena,5,Enter_Zone,3
76.056,Info,Arena,3,Exit_Zone,3
